T32n1672_p0745b10║
T32n1672_p0745b11║　　{{No. 1672 [Nos. 1673, 1674]||}}
T32n1672_p0745b12║{{||K1043V30P0674a01L;}}龍樹菩薩為禪{{陀||[阿-可+(施-方)]}}迦王說法要偈
T32n1672_p0745c02║　{{||K1043V30P0674a19L;}}殺盜婬欺耽荒酒　　雕{{床||[爿*木]}}高廣及香{{熏||薰}}
T32n1672_p0745c03║　{{||K1043V30P0674a20L;}}謳歌{{倡||唱}}伎過時食　　如斯眾惡宜遠離
T32n1672_p0745c04║　{{||K1043V30P0674a21L;}}若少時{{間||閒}}修此戒　　必受天樂昇涅槃
T32n1672_p0745c05║　{{||K1043V30P0674a22L;}}慳嫉貪欲及{{諂||[言*舀]}}偽　　誑惑顛倒與懈怠
T32n1672_p0745c06║　{{||K1043V30P0674b01L;}}如此眾惡不善法　　大王當觀速棄捨
T32n1672_p0745c07║　{{||K1043V30P0674b02L;}}端正尊豪及五欲　　當知危朽若泡沫
T32n1672_p0745c08║　{{||K1043V30P0674b03L;}}莫恃若斯不堅法　　憍逸自恣生諸苦
T32n1672_p0745c09║　{{||K1043V30P0674b04L;}}欲長諸善證甘露　　應當遠離如棄毒
T32n1672_p0745c10║　{{||K1043V30P0674b05L;}}有能精勤捨瞋慢　　譬如除雲顯秋月
T32n1672_p0745c11║　{{||K1043V30P0674b06L;}}猶如指鬘與難{{陀||[阿-可+(施-方)]}}　　亦如差摩賢聖等
T32n1672_p0745c12║　{{||K1043V30P0674b07L;}}如來說有三種語　　入意真實虛妄言
T32n1672_p0745c13║　{{||K1043V30P0674b08L;}}入意如花實{{猶||如}}蜜　　虛妄鄙惡若糞穢
T32n1672_p0745c14║　{{||K1043V30P0674b09L;}}應當修習前二言　　速宜除斷虛妄者
T32n1672_p0745c15║　{{||K1043V30P0674b10L;}}從明入明四種法　　王當分別諦思惟
T32n1672_p0745c16║　{{||K1043V30P0674b11L;}}二種入明是應修　　若就癡冥當速捨
T32n1672_p0745c17║　{{||K1043V30P0674b12L;}}菴婆羅果四種變　　人難分別亦如是
T32n1672_p0745c18║　{{||K1043V30P0674b13L;}}當以智慧深觀察　　若實賢善宜親近
T32n1672_p0745c19║　{{||K1043V30P0674b14L;}}雖見女人極端嚴　　當作己母姊女想
T32n1672_p0745c20║　{{||K1043V30P0674b15L;}}設起貪欲染愛心　　應當正修不淨觀
T32n1672_p0745c21║　{{||K1043V30P0674b16L;}}是心躁動宜禁制　　如防身命及珍寶
T32n1672_p0745c22║　{{||K1043V30P0674b17L;}}欲心若起應驚怖　　猶畏刀劍惡獸等
T32n1672_p0745c23║　{{||K1043V30P0674b18L;}}欲為無利如怨毒　　如此之言牟尼說
T32n1672_p0745c24║　{{||K1043V30P0674b19L;}}生死輪迴過獄縛　　應當勤修求解脫
T32n1672_p0745c25║　{{||K1043V30P0674b20L;}}六入躁動馳諸境　　應當攝持莫放逸
T32n1672_p0745c26║　{{||K1043V30P0674b21L;}}若能如是攝諸根　　勝於勇將摧強{{敵||[敵-ㄆ+欠]}}
T32n1672_p0745c27║　{{||K1043V30P0674b22L;}}是身不淨九孔流　　無有窮已若河海
T32n1672_p0745c28║　{{||K1043V30P0674b23L;}}薄皮覆蔽似清淨　　猶假瓔珞自莊嚴
T32n1672_p0745c29║　{{||K1043V30P0674c01L;}}諸有智人乃分別　　知其虛誑便棄捨
T32n1672_p0746a01║　{{||K1043V30P0674c02L;}}譬如疥者近猛焰　　初雖暫悅後增苦
T32n1672_p0746a02║　{{||K1043V30P0674c03L;}}貪欲之想亦復然　　始雖樂著終多患
T32n1672_p0746a03║　{{||K1043V30P0674c04L;}}見身實相皆不淨　　即是觀於空無我
T32n1672_p0746a04║　{{||K1043V30P0674c05L;}}若能修習斯觀者　　於利益中最無上
T32n1672_p0746a05║　{{||K1043V30P0674c06L;}}雖有色族及多聞　　若無戒智猶禽獸
T32n1672_p0746a06║　{{||K1043V30P0674c07L;}}雖處醜賤少聞見　　能修戒智名勝士
T32n1672_p0746a07║　{{||K1043V30P0674c08L;}}利衰八法莫能免　　若有除斷真無{{匹||疋}}
T32n1672_p0746a08║　{{||K1043V30P0674c09L;}}諸有沙門婆羅門　　父母妻子及眷屬
T32n1672_p0746a09║　{{||K1043V30P0674c10L;}}莫為彼意受其言　　廣造不善非法行
T32n1672_p0746a10║　{{||K1043V30P0674c11L;}}設為此等起諸過　　未來大苦唯身受
T32n1672_p0746a11║　{{||K1043V30P0674c12L;}}夫造眾惡不即報　　非如刀劍交傷割
T32n1672_p0746a12║　{{||K1043V30P0674c13L;}}臨終罪相始俱現　　後入地獄嬰諸苦
T32n1672_p0746a13║　{{||K1043V30P0674c14L;}}信戒施聞慧慚愧　　如是七法名聖財
T32n1672_p0746a14║　{{||K1043V30P0674c15L;}}真實無比牟尼說　　超越世{{間||閒}}眾珍寶
T32n1672_p0746a15║　{{||K1043V30P0674c16L;}}大王若集此勝財　　不久亦證道場果
T32n1672_p0746a16║　{{||K1043V30P0674c17L;}}博弈飲酣好琴瑟　　懈怠憍逸及惡友
T32n1672_p0746a17║　{{||K1043V30P0674c18L;}}非時輕躁多動亂　　如斯七法當遠離
T32n1672_p0746a18║　{{||K1043V30P0674c19L;}}知足第一勝諸財　　如此之言世尊說
T32n1672_p0746a19║　{{||K1043V30P0674c20L;}}知足雖貧可名富　　有財多欲是名貧
T32n1672_p0746a20║　{{||K1043V30P0674c21L;}}若豐財業增諸苦　　如龍多首益酸毒
T32n1672_p0746a21║　{{||K1043V30P0674c22L;}}當觀美味如毒藥　　以智慧水灑令淨
T32n1672_p0746a22║　{{||K1043V30P0674c23L;}}為存此身雖應食　　勿貪色味長憍慢
T32n1672_p0746a23║　{{||K1043V30P0675a01L;}}於諸欲染當生厭　　勤求無上涅槃道
T32n1672_p0746a24║　{{||K1043V30P0675a02L;}}調和此身令安隱　　然後宜應修齋戒
T32n1672_p0746a25║　{{||K1043V30P0675a03L;}}一夜分別有五時　　於二時中當眠息
T32n1672_p0746a26║　{{||K1043V30P0675a04L;}}初中後夜觀生死　　宜勤求度勿空過
T32n1672_p0746a27║　{{||K1043V30P0675a05L;}}四無量定當修習　　是名開於梵天道
T32n1672_p0746a28║　{{||K1043V30P0675a06L;}}若專繫念四禪心　　命終必生彼天處
T32n1672_p0746a29║　{{||K1043V30P0675a07L;}}有為遷動皆無常　　苦空敗壞不堅固
T32n1672_p0746b01║　{{||K1043V30P0675a08L;}}無我無樂不清淨　　如是悉名對治法
T32n1672_p0746b02║　{{||K1043V30P0675a09L;}}若有深觀此法門　　未來常處尊豪位
T32n1672_p0746b03║　{{||K1043V30P0675a10L;}}修行五戒斷五邪　　是亦大王所應念
T32n1672_p0746b04║　{{||K1043V30P0675a11L;}}譬如少鹽置恒河　　不能令水有{{[酉*咸]||鹹}}味
T32n1672_p0746b05║　{{||K1043V30P0675a12L;}}微細之惡遇眾善　　消滅散壞亦如是
T32n1672_p0746b06║　{{||K1043V30P0675a13L;}}五邪若增劫功德　　王當除滅令莫長
T32n1672_p0746b07║　{{||K1043V30P0675a14L;}}信等五根眾善源　　是宜修習令增盛
T32n1672_p0746b08║　{{||K1043V30P0675a15L;}}生等八苦常熾燃　　當持慧水灑令滅
T32n1672_p0746b09║　{{||K1043V30P0675a16L;}}欲求天樂及涅槃　　應勤修習正知見
T32n1672_p0746b10║　{{||K1043V30P0675a17L;}}雖有利智入邪道　　微妙功德永無餘
T32n1672_p0746b11║　{{||K1043V30P0675a18L;}}四種顛倒害諸善　　是故當觀莫令生
T32n1672_p0746b12║　{{||K1043V30P0675a19L;}}謂色非我我非色　　我中無色色無我
T32n1672_p0746b13║　{{||K1043V30P0675a20L;}}於色生此四種心　　自餘諸陰皆如是
T32n1672_p0746b14║　{{||K1043V30P0675a21L;}}是二十心名顛倒　　若能除斷為最上
T32n1672_p0746b15║　{{||K1043V30P0675a22L;}}法不自起冥初生　　非自在作及時有
T32n1672_p0746b16║　{{||K1043V30P0675a23L;}}皆從無明愛業起　　若無因緣便斷壞
T32n1672_p0746b17║　{{||K1043V30P0675b01L;}}大王既知此等因　　當燃慧燈破癡闇
T32n1672_p0746b18║　{{||K1043V30P0675b02L;}}身見戒取及疑結　　此三能障無漏道
T32n1672_p0746b19║　{{||K1043V30P0675b03L;}}王若毀壞令散滅　　聖解脫法當現顯
T32n1672_p0746b20║　{{||K1043V30P0675b04L;}}譬如盲人問水相　　百千萬劫莫能了
T32n1672_p0746b21║　{{||K1043V30P0675b05L;}}欲求涅槃亦如是　　唯自精勤後方證
T32n1672_p0746b22║　{{||K1043V30P0675b06L;}}欲假眷屬及知識　　而得之者甚難有
T32n1672_p0746b23║　{{||K1043V30P0675b07L;}}是故大王當精進　　然後乃可證寂滅
T32n1672_p0746b24║　{{||K1043V30P0675b08L;}}施戒多聞及禪定　　因是漸近四真諦
T32n1672_p0746b25║　{{||K1043V30P0675b09L;}}人主故應修慧明　　行斯三法求解脫
T32n1672_p0746b26║　{{||K1043V30P0675b10L;}}若能修此最上乘　　則攝諸餘一切善
T32n1672_p0746b27║　{{||K1043V30P0675b11L;}}大王當觀身念法　　世尊說為清淨道
T32n1672_p0746b28║　{{||K1043V30P0675b12L;}}若無此念增惡覺　　是故宜應勤修習
T32n1672_p0746b29║　{{||K1043V30P0675b13L;}}人命短促不久留　　如水上泡起尋滅
T32n1672_p0746c01║　{{||K1043V30P0675b14L;}}出息入息眠睡{{間||閒}}　　念念恒謝常衰滅
T32n1672_p0746c02║　{{||K1043V30P0675b15L;}}不久便當見磨滅　　皮肉臭爛甚可惡
T32n1672_p0746c03║　{{||K1043V30P0675b16L;}}青瘀脹壞膿血流　　虫蛆唼食至枯竭
T32n1672_p0746c04║　{{||K1043V30P0675b17L;}}髮毛爪齒各分散　　風吹日曝漸乾盡
T32n1672_p0746c05║　{{||K1043V30P0675b18L;}}當知此身不堅牢　　無量眾苦所積聚
T32n1672_p0746c06║　{{||K1043V30P0675b19L;}}是故賢聖諸智人　　皆觀斯過咸棄捨
T32n1672_p0746c07║　{{||K1043V30P0675b20L;}}須彌巨海及江河　　七日{{並||[立*立]}}照皆融竭
T32n1672_p0746c08║　{{||K1043V30P0675b21L;}}如此堅固尚摧毀　　況復若斯危脆身
T32n1672_p0746c09║　{{||K1043V30P0675b22L;}}無常既至無救護　　不可恃怙及追求
T32n1672_p0746c10║　{{||K1043V30P0675b23L;}}是故大王常諦觀　　速生厭離求勝法
T32n1672_p0746c11║　{{||K1043V30P0675c01L;}}人身難得法難聞　　猶如盲龜遇浮孔
T32n1672_p0746c12║　{{||K1043V30P0675c02L;}}既獲若斯希有身　　宜應勤心聽正法
T32n1672_p0746c13║　{{||K1043V30P0675c03L;}}得此妙身造諸惡　　譬如寶器盛眾毒
T32n1672_p0746c14║　{{||K1043V30P0675c04L;}}生處中國遇善友　　專念發心起正願
T32n1672_p0746c15║　{{||K1043V30P0675c05L;}}久殖功德具諸根　　王今滿足此眾善
T32n1672_p0746c16║　{{||K1043V30P0675c06L;}}若復親近見知人　　佛說此為淨梵行
T32n1672_p0746c17║　{{||K1043V30P0675c07L;}}是故應當樂隨順　　諸佛由此證涅槃
T32n1672_p0746c18║　{{||K1043V30P0675c08L;}}既遇微妙清淨法　　應當志求離欲道
T32n1672_p0746c19║　{{||K1043V30P0675c09L;}}生死嶮難苦無量　　窮劫宣說莫能盡
T32n1672_p0746c20║　{{||K1043V30P0675c10L;}}我今為王略分別　　應當諦聽善思惟
T32n1672_p0746c21║　{{||K1043V30P0675c11L;}}三界轉變無輪際　　父母妻子更相因
T32n1672_p0746c22║　{{||K1043V30P0675c12L;}}怨親憎愛無常處　　如旋火輪豈窮已
T32n1672_p0746c23║　{{||K1043V30P0675c13L;}}無始生死世界來　　計飲母乳多大海
T32n1672_p0746c24║　{{||K1043V30P0675c14L;}}若不精勤證空智　　將來復飲無窮限
T32n1672_p0746c25║　{{||K1043V30P0675c15L;}}周流五道經人天　　若積身骨高須彌
T32n1672_p0746c26║　{{||K1043V30P0675c16L;}}愛別哀悲計其淚　　亦非江河所能{{匹||疋}}
T32n1672_p0746c27║　{{||K1043V30P0675c17L;}}若計一人父母者　　過於世{{間||閒}}草木數
T32n1672_p0746c28║　{{||K1043V30P0675c18L;}}雖受五欲天上樂　　終還墜沒惡趣苦
T32n1672_p0746c29║　{{||K1043V30P0675c19L;}}諸天壽命極長遠　　其{{間||閒}}娛樂難宣說
T32n1672_p0747a01║　{{||K1043V30P0675c20L;}}歌謳倡舞流妙聲　　哀音和雅甚清遠
T32n1672_p0747a02║　{{||K1043V30P0675c21L;}}奇姿妙色極端嚴　　圍遶侍衛相娛樂
T32n1672_p0747a03║　{{||K1043V30P0675c22L;}}百味盛饌皆具足　　隨意所翫自然至
T32n1672_p0747a04║　{{||K1043V30P0675c23L;}}寶池香淨水恒滿　　周{{匝||[一/巾]}}羅覆諸妙花
T32n1672_p0747a05║　{{||K1043V30P0676a01L;}}眾鳥異色集其上　　哀聲相和出遠音
T32n1672_p0747a06║　{{||K1043V30P0676a02L;}}諸天遊戲浴其內　　如是歡娛不可說
T32n1672_p0747a07║　{{||K1043V30P0676a03L;}}福盡臨終五衰現　　爾時生苦踰前樂
T32n1672_p0747a08║　{{||K1043V30P0676a04L;}}是故雖有天女娛　　智者見之已生厭
T32n1672_p0747a09║　{{||K1043V30P0676a05L;}}雖居珍寶上樓觀　　亦必退墮臭穢處
T32n1672_p0747a10║　{{||K1043V30P0676a06L;}}雖遊天上難{{陀||[阿-可+(施-方)]}}園　　會亦還入刀劍林
T32n1672_p0747a11║　{{||K1043V30P0676a07L;}}雖浴諸天曼{{陀||[阿-可+(施-方)]}}池　　終必墜於灰河獄
T32n1672_p0747a12║　{{||K1043V30P0676a08L;}}雖復位處轉輪帝　　歸為僮僕被驅使
T32n1672_p0747a13║　{{||K1043V30P0676a09L;}}雖受梵天離欲娛　　還墜無{{間||閒}}熾{{然||燃}}苦
T32n1672_p0747a14║　{{||K1043V30P0676a10L;}}雖居天宮具光明　　後入地獄黑闇中
T32n1672_p0747a15║　{{||K1043V30P0676a11L;}}所謂黑繩活地獄　　燒割剝刺及無{{間||閒}}
T32n1672_p0747a16║　{{||K1043V30P0676a12L;}}是八地獄常熾燃　　皆是眾生惡業報
T32n1672_p0747a17║　{{||K1043V30P0676a13L;}}或受大苦如押油　　或碎身體若塵粉
T32n1672_p0747a18║　{{||K1043V30P0676a14L;}}或解支節{{今||令}}分散　　或復[利-禾+皮]剝及燒煮
T32n1672_p0747a19║　{{||K1043V30P0676a15L;}}或以沸銅澍其口　　或以鐵押裂其形
T32n1672_p0747a20║　{{||K1043V30P0676a16L;}}鐵狗競來爭食噉　　鐵{{鳥||烏}}復集共齟掣
T32n1672_p0747a21║　{{||K1043V30P0676a17L;}}眾類毒虫{{並||[立*立]}}[齒*齊]{{齧||嚙}}　　或燒銅柱貫其身
T32n1672_p0747a22║　{{||K1043V30P0676a18L;}}大火猛盛俱洞燃　　罪業緣故無逃避
T32n1672_p0747a23║　{{||K1043V30P0676a19L;}}鑊湯騰沸至高涌　　顛倒罪人投其內
T32n1672_p0747a24║　{{||K1043V30P0676a20L;}}人命危朽甚迅{{駛||駃}}　　譬如諸天喘息頃
T32n1672_p0747a25║　{{||K1043V30P0676a21L;}}若人於此短命中　　聞上諸苦不驚畏
T32n1672_p0747a26║　{{||K1043V30P0676a22L;}}當知此心甚堅固　　猶如金剛難摧壞
T32n1672_p0747a27║　{{||K1043V30P0676a23L;}}若見圖畫聞他言　　或隨經書自憶念
T32n1672_p0747a28║　{{||K1043V30P0676b01L;}}如是知時已難忍　　況復己身自經歷
T32n1672_p0747a29║　{{||K1043V30P0676b02L;}}無{{間||閒}}無救大地獄　　此中諸苦難窮盡
T32n1672_p0747b01║　{{||K1043V30P0676b03L;}}若復有人一日中　　以三百鉾{{[打-丁+(爂-火+焱)]||攛}}其體
T32n1672_p0747b02║　{{||K1043V30P0676b04L;}}比阿毘獄一念苦　　百千萬分不及一
T32n1672_p0747b03║　{{||K1043V30P0676b05L;}}受此大苦經一劫　　罪業緣盡後方免
T32n1672_p0747b04║　{{||K1043V30P0676b06L;}}如是苦惱從誰生　　皆由三業不善起
T32n1672_p0747b05║　{{||K1043V30P0676b07L;}}大王今雖無斯患　　若不修因緣墜落
T32n1672_p0747b06║　{{||K1043V30P0676b08L;}}於畜生中苦無量　　或有繫縛及鞭撻
T32n1672_p0747b07║　{{||K1043V30P0676b09L;}}無有信戒多聞故　　恒懷惡心相食噉
T32n1672_p0747b08║　{{||K1043V30P0676b10L;}}或為明珠羽角牙　　骨毛皮肉致殘害
T32n1672_p0747b09║　{{||K1043V30P0676b11L;}}為人乘駕不自在　　恒受瓦石刀杖苦
T32n1672_p0747b10║　{{||K1043V30P0676b12L;}}餓鬼道中苦亦然　　諸所須欲不隨意
T32n1672_p0747b11║　{{||K1043V30P0676b13L;}}飢渴所逼困寒熱　　疲乏等苦甚無量
T32n1672_p0747b12║　{{||K1043V30P0676b14L;}}腹大若山咽如{{針||鍼}}　　屎尿膿血不可說
T32n1672_p0747b13║　{{||K1043V30P0676b15L;}}裸形被髮甚醜惡　　如多羅樹被燒{{剪||翦}}
T32n1672_p0747b14║　{{||K1043V30P0676b16L;}}其口夜則大火燃　　諸虫爭赴共唼食
T32n1672_p0747b15║　{{||K1043V30P0676b17L;}}屎尿糞穢諸不淨　　百千萬劫莫能得
T32n1672_p0747b16║　{{||K1043V30P0676b18L;}}設復推求得少分　　更相劫奪尋散失
T32n1672_p0747b17║　{{||K1043V30P0676b19L;}}清涼秋月患焰熱　　溫和春日轉寒苦
T32n1672_p0747b18║　{{||K1043V30P0676b20L;}}若趣園林眾果盡　　設至清流變枯竭
T32n1672_p0747b19║　{{||K1043V30P0676b21L;}}罪業緣故壽長遠　　經有一萬五千歲
T32n1672_p0747b20║　{{||K1043V30P0676b22L;}}受眾楚毒無空缺　　皆是餓鬼之果報
T32n1672_p0747b21║　{{||K1043V30P0676b23L;}}正覺說斯苦惱因　　名曰慳貪嫉{{[女*石]||妒}}業
T32n1672_p0747b22║　{{||K1043V30P0676c01L;}}若天福盡有餘善　　因此得為人中王
T32n1672_p0747b23║　{{||K1043V30P0676c02L;}}後設懈怠福都盡　　必墜三惡無有疑
T32n1672_p0747b24║　{{||K1043V30P0676c03L;}}或生修羅起貢高　　恚嫉貪害增諸惱
T32n1672_p0747b25║　{{||K1043V30P0676c04L;}}諸天雖有善根行　　以其慳嫉失利樂
T32n1672_p0747b26║　{{||K1043V30P0676c05L;}}是故當知嫉{{[女*石]||妒}}結　　為深惡法宜棄捨
T32n1672_p0747b27║　{{||K1043V30P0676c06L;}}大王汝今已具知　　生死過患多眾苦
T32n1672_p0747b28║　{{||K1043V30P0676c07L;}}應當勤修出世善　　如渴思飲救頭燃
T32n1672_p0747b29║　{{||K1043V30P0676c08L;}}若加精進斷諸有　　於諸善中最無上
T32n1672_p0747c01║　{{||K1043V30P0676c09L;}}當勤持戒習禪智　　調伏其心求涅槃
T32n1672_p0747c02║　{{||K1043V30P0676c10L;}}涅槃微妙絕諸相　　無生老死及衰惱
T32n1672_p0747c03║　{{||K1043V30P0676c11L;}}亦無山河與日月　　是故應當速證知
T32n1672_p0747c04║　{{||K1043V30P0676c12L;}}若欲證於無師智　　應當專修七覺法
T32n1672_p0747c05║　{{||K1043V30P0676c13L;}}若有乘斯覺分船　　生死大海易超渡
T32n1672_p0747c06║　{{||K1043V30P0676c14L;}}佛所不說十四法　　但生信心莫疑惑
T32n1672_p0747c07║　{{||K1043V30P0676c15L;}}唯當正心勤精進　　決定修習諸善法
T32n1672_p0747c08║　{{||K1043V30P0676c16L;}}無明緣行識名色　　六入觸受愛取有
T32n1672_p0747c09║　{{||K1043V30P0676c17L;}}有則緣生生緣死　　若盡生死因緣滅
T32n1672_p0747c10║　{{||K1043V30P0676c18L;}}如是正觀十二緣　　是人則見聖師子
T32n1672_p0747c11║　{{||K1043V30P0676c19L;}}若欲次第見四諦　　當勤修習八正道
T32n1672_p0747c12║　{{||K1043V30P0676c20L;}}雖居尊榮處五欲　　亦得聖道斷諸結
T32n1672_p0747c13║　{{||K1043V30P0676c21L;}}此果不可求餘人　　必自心會乃得證
T32n1672_p0747c14║　{{||K1043V30P0676c22L;}}我說眾苦及涅槃　　欲為潤益大王故
T32n1672_p0747c15║　{{||K1043V30P0676c23L;}}不應生於怖畏心　　但勤誦習行諸善
T32n1672_p0747c16║　{{||K1043V30P0677a01L;}}心為諸法之根本　　若先調伏事斯辦
T32n1672_p0747c17║　{{||K1043V30P0677a02L;}}我說法要略分別　　王不宜應生足心
T32n1672_p0747c18║　{{||K1043V30P0677a03L;}}若有大智更敷演　　亦當至心勤聽受
T32n1672_p0747c19║　{{||K1043V30P0677a04L;}}王今名為大法器　　若廣聞法必多益
T32n1672_p0747c20║　{{||K1043V30P0677a05L;}}若見有修三業善　　應深助生隨喜心
T32n1672_p0747c21║　{{||K1043V30P0677a06L;}}自所行善及隨喜　　如是功德悉迴向
T32n1672_p0747c22║　{{||K1043V30P0677a07L;}}王當仰學諸賢聖　　如觀音等度眾生
T32n1672_p0747c23║　{{||K1043V30P0677a08L;}}未來必當成正覺　　國無生老三毒害
T32n1672_p0747c24║　{{||K1043V30P0677a09L;}}大王若修上諸善　　則美名稱廣流布
T32n1672_p0747c25║　{{||K1043V30P0677a10L;}}然後以此教化人　　普令一切成正覺
T32n1672_p0747c26║　{{||K1043V30P0677a11L;}}煩惱駛河{{[漂*寸]||漂}}眾生　　為深怖畏熾{{然||燃}}苦
T32n1672_p0747c27║　{{||K1043V30P0677a12L;}}欲滅如是諸塵勞　　應修真實解脫諦
T32n1672_p0747c28║　{{||K1043V30P0677a13L;}}離諸世{{間||閒}}假名法　　則得清淨不動處
T32n1672_p0747c29║　{{||K1043V30P0677a14L;}}若有婦人懷害心　　如此之妻宜遠離
T32n1672_p0748a01║　{{||K1043V30P0677a15L;}}設有貞和愛敬夫　　謙卑勤業若婢使
T32n1672_p0748a02║　{{||K1043V30P0677a16L;}}恒為親友姊母想　　此宜尊敬如宅神
T32n1672_p0748a03║　{{||K1043V30P0677a17L;}}我所說法正如是　　王當日夜勤修行
T32n1672_p0748a04║{{||K1043V30P0677a18L;}}龍樹菩薩為禪{{陀||[阿-可+(施-方)]}}迦王說法要偈{{||K1043V30P0677a19L;}}{{||乙巳歲高麗國大藏都監奉[束*力]彫造}}

